rpm,f,v,rpm,f,v
100,0.001,3.5,100,0.0019,3.8
150,0.0025,5.5,150,0.0049,5.7
200,0.0055,7.6,200,0.008,7.8
250,0.0095,9.75,250,0.014,9.9
300,0.016,12,300,0.02,11.9
350,0.021,14,350,0.027,14
400,0.032,16.2,400,0.035,16
450,0.042,18.3,450,0.043,18.1
500,0.056,20.6,500,0.052,20.5
550,0.07,22.5,550,0.062,22.3
600,0.084,24.9,600,0.073,24.2
650,0.1,27,650,0.09,26.9
700,0.12,29.5,700,0.1,28.3
750,0.14,31.5,750,0.091,32.9
800,0.17,33.8,800,0.099,35.6
850,0.19,36.5,850,0.12,38.1
900,0.22,39.1,900,0.14,40.2
950,0.25,41.35,950,0.15,42.9
1000,0.27,43.6,1000,0.17,45
1100,0.34,48.2,1100,0.22,50.4
1200,0.41,52.8,1200,0.26,55.5
1300,0.49,57.5,1300,0.3,61.9
1400,0.58,61.5,1400,0.34,67.1
1500,0.67,67.2,1500,0.38,72.2
1600,0.78,72.5,1600,0.42,77.5
1700,0.88,78.5,1700,0.47,81.9
1800,0.97,80.7,1800,0.53,87.1
1900,1.1,86.5,1900,0.6,91.9
2000,1.22,92,2000,0.67,97.1
